inbound_id,inbound_date,po_no,item_code,vendor_code,inbound_qty
INB-00462,2026-06-13,PO-1163,ITM-012,V009,192
INB-00463,2026-06-15,PO-1120,ITM-079,V017,76
INB-00464,2026-06-12,PO-1051,ITM-028,V002,123
INB-00465,2026-06-15,PO-1302,ITM-028,V008,99
INB-00466,2026-06-12,PO-1112,ITM-032,V016,16
INB-00467,2026-06-15,PO-MISS-073,ITM-X609,V016,164
INB-00468,2026-06-12,PO-1121,ITM-058,V006,185
INB-00469,2026-06-14,PO-1140,ITM-007,V009,34
INB-00470,2026-06-15,PO-1267,ITM-074,V012,146
INB-00471,2026-06-15,PO-1181,ITM-025,V010,94
INB-00472,2026-06-13,PO-1038,ITM-013,V022,196
INB-00473,2026-06-15,PO-1085,ITM-021,V023,10
INB-00474,2026-06-12,PO-1043,ITM-024,V009,35
INB-00475,2026-06-12,PO-1158,ITM-014,V014,68
INB-00476,2026-06-13,PO-1050,ITM-063,V005,6
INB-00477,2026-06-12,PO-1018,ITM-065,V020,102
INB-00478,2026-06-15,PO-1331,ITM-040,V012,110
INB-00479,2026-06-15,PO-1303,ITM-077,V001,109
INB-00480,2026-06-15,PO-1147,ITM-020,V008,11
INB-00481,2026-06-13,PO-1337,ITM-X086,V001,36
INB-00482,2026-06-14,PO-1316,ITM-078,V005,6
INB-00483,2026-06-13,PO-1285,ITM-030,V016,10
INB-00484,2026-06-14,PO-1327,ITM-017,V018,26
INB-00485,2026-06-12,PO-1253,ITM-013,V015,40
INB-00486,2026-06-15,PO-1067,ITM-068,V001,62
INB-00487,2026-06-12,PO-1056,ITM-031,V013,32
INB-00488,2026-06-12,PO-1349,ITM-076,V016,223
INB-00489,2026-06-12,PO-1164,ITM-060,V019,117
INB-00490,2026-06-12,PO-1061,ITM-039,V015,87
INB-00491,2026-06-13,PO-1175,ITM-071,V011,31
INB-00492,2026-06-12,PO-1114,ITM-064,V013,67
INB-00493,2026-06-12,PO-1138,ITM-051,V019,11
INB-00494,2026-06-15,PO-1161,ITM-069,V016,178
INB-00495,2026-06-14,PO-1085,ITM-021,V023,22
INB-00496,2026-06-14,PO-1205,ITM-008,V006,33
INB-00497,2026-06-14,PO-1018,ITM-065,V020,137
INB-00498,2026-06-12,PO-1099,ITM-041,V022,43
INB-00499,2026-06-15,PO-1210,ITM-042,V020,70
INB-00500,2026-06-12,PO-1295,ITM-057,V015,68
